gene,trans,speciesMatch,chr,five_prime_UTR,three_prime_UTR,evalue,bitScore,rawValue,percentMatch,other,proteinMatch,noSpeciesMatchesPerTranscript
Zm00001d028803,Zm00001d028803_T001,sorghum,1,46852702,46857481,0,953,851,87.074,741,OQU92748,4
Zm00001d028803,Zm00001d028803_T001,setaria,1,46852702,46857481,0,723,813,82.903,674,KQK91269,4
Zm00001d028803,Zm00001d028803_T001,setaria,1,46852702,46857481,1.18E-147,527,646,82.043,530,KQK91269,4
Zm00001d028803,Zm00001d028803_T001,rice,1,46852702,46857481,5.66E-126,455,860,76.86,661,Os03t0298700-01,4
Zm00001d028803,Zm00001d028803_T001,brachypodium,1,46852702,46857481,2.05E-120,436,875,76.343,668,KQK22076,4
Zm00001d028803,Zm00001d028803_T001,brachypodium,1,46852702,46857481,3.73E-58,230,333,80.18,267,KQK22076,4
Zm00001d028803,Zm00001d028803_T001,brachypodium,1,46852702,46857481,6.38E-41,172,530,73.585,390,KQK22076,4
Zm00001d028803,Zm00001d028803_T001,brachypodium,1,46852702,46857481,2.05E-120,436,875,76.343,668,PNT77561,4
Zm00001d028803,Zm00001d028803_T001,brachypodium,1,46852702,46857481,3.73E-58,230,333,80.18,267,PNT77561,4
Zm00001d028803,Zm00001d028803_T001,brachypodium,1,46852702,46857481,6.38E-41,172,530,73.585,390,PNT77561,4
Zm00001d028803,Zm00001d028803_T001,brachypodium,1,46852702,46857481,2.05E-120,436,875,76.343,668,PNT77562,4
Zm00001d028803,Zm00001d028803_T001,brachypodium,1,46852702,46857481,3.73E-58,230,333,80.18,267,PNT77562,4
Zm00001d028803,Zm00001d028803_T001,brachypodium,1,46852702,46857481,6.38E-41,172,530,73.585,390,PNT77562,4
Zm00001d028803,Zm00001d028803_T001,brachypodium,1,46852702,46857481,2.05E-120,436,875,76.343,668,KQK22075,4
Zm00001d028803,Zm00001d028803_T001,brachypodium,1,46852702,46857481,3.73E-58,230,333,80.18,267,KQK22075,4
Zm00001d028803,Zm00001d028803_T001,brachypodium,1,46852702,46857481,6.38E-41,172,530,73.585,390,KQK22075,4
Zm00001d028803,Zm00001d028803_T001,brachypodium,1,46852702,46857481,2.05E-120,436,875,76.343,668,PNT77560,4
Zm00001d028803,Zm00001d028803_T001,brachypodium,1,46852702,46857481,3.73E-58,230,333,80.18,267,PNT77560,4
Zm00001d028803,Zm00001d028803_T001,brachypodium,1,46852702,46857481,6.38E-41,172,530,73.585,390,PNT77560,4
Zm00001d027450,Zm00001d027450_T004,sorghum,1,5529117,5534982,0,2665,1661,95.725,1590,KXG40287,4
Zm00001d027450,Zm00001d027450_T004,sorghum,1,5529117,5534982,4.33E-80,302,235,90.638,213,KXG40287,4
Zm00001d027450,Zm00001d027450_T004,setaria,1,5529117,5534982,0,2272,1661,91.451,1519,KQK92822,4
Zm00001d027450,Zm00001d027450_T004,sorghum,1,5529117,5534982,0,2257,1428,95.308,1361,OQU93339,4
Zm00001d027450,Zm00001d027450_T004,sorghum,1,5529117,5534982,2.04E-68,263,187,92.513,173,OQU93339,4
Zm00001d027450,Zm00001d027450_T004,brachypodium,1,5529117,5534982,0,1655,1671,84.8,1417,PNT78284,4
Zm00001d027450,Zm00001d027450_T004,rice,1,5529117,5534982,0,1404,1325,85.962,1139,Os03t0126100-01,4
Zm00001d027450,Zm00001d027450_T004,setaria,1,5529117,5534982,0,1184,1667,79.964,1333,KQK90186,4
Zm00001d027450,Zm00001d027450_T004,brachypodium,1,5529117,5534982,0,1175,1660,79.759,1324,KQJ97571,4
Zm00001d027450,Zm00001d027450_T004,sorghum,1,5529117,5534982,0,1122,1648,79.49,1310,OQU92250,4
Zm00001d027450,Zm00001d027450_T004,rice,1,5529117,5534982,0,1103,1676,78.938,1323,Os10t0533000-01,4
Zm00001d027450,Zm00001d027450_T004,brachypodium,1,5529117,5534982,0,992,1423,79.621,1133,KQJ97572,4
Zm00001d027450,Zm00001d027450_T007,sorghum,1,5529124,5534940,0,1751,1083,95.845,1038,KXG40287,4
Zm00001d027450,Zm00001d027450_T007,sorghum,1,5529124,5534940,0,1670,1040,95.673,995,OQU93339,4
Zm00001d027450,Zm00001d027450_T007,setaria,1,5529124,5534940,0,1563,1083,92.705,1004,KQK92822,4
Zm00001d027450,Zm00001d027450_T007,rice,1,5529124,5534940,0,1120,1084,85.517,927,Os03t0126100-01,4
Zm00001d027450,Zm00001d027450_T007,brachypodium,1,5529124,5534940,0,1064,1085,84.516,917,PNT78284,4
Zm00001d027450,Zm00001d027450_T007,setaria,1,5529124,5534940,0,704,1104,78.804,870,KQK90186,4
Zm00001d027450,Zm00001d027450_T007,rice,1,5529124,5534940,1.73E-171,604,1110,76.937,854,Os10t0533000-01,4
Zm00001d027450,Zm00001d027450_T003,sorghum,1,5529117,5533720,0,2080,1273,96.151,1224,KXG40287,4
Zm00001d027450,Zm00001d027450_T003,setaria,1,5529117,5533720,0,1803,1273,92.223,1174,KQK92822,4
Zm00001d027450,Zm00001d027450_T003,sorghum,1,5529117,5533720,0,1670,1040,95.673,995,OQU93339,4
Zm00001d027450,Zm00001d027450_T003,rice,1,5529117,5533720,0,1354,1280,85.938,1100,Os03t0126100-01,4
Zm00001d027450,Zm00001d027450_T003,brachypodium,1,5529117,5533720,0,1266,1281,84.621,1084,PNT78284,4
Zm00001d027450,Zm00001d027450_T003,setaria,1,5529117,5533720,0,813,1286,78.616,1011,KQK90186,4
Zm00001d027450,Zm00001d027450_T003,rice,1,5529117,5533720,0,750,1291,77.537,1001,Os10t0533000-01,4
Zm00001d027450,Zm00001d027450_T001,sorghum,1,5528958,5535135,0,3051,1921,95.471,1834,KXG40287,4
Zm00001d027450,Zm00001d027450_T001,sorghum,1,5528958,5535135,0,2604,1640,95.427,1565,OQU93339,4
Zm00001d027450,Zm00001d027450_T001,setaria,1,5528958,5535135,0,2566,1874,91.462,1714,KQK92822,4
Zm00001d027450,Zm00001d027450_T001,brachypodium,1,5528958,5535135,0,1908,1911,84.929,1623,PNT78284,4
Zm00001d027450,Zm00001d027450_T001,rice,1,5528958,5535135,0,1404,1325,85.962,1139,Os03t0126100-01,4
Zm00001d027450,Zm00001d027450_T001,setaria,1,5528958,5535135,0,1402,1903,80.399,1530,KQK90186,4
Zm00001d027450,Zm00001d027450_T001,brachypodium,1,5528958,5535135,0,1356,1875,80,1500,KQJ97571,4
Zm00001d027450,Zm00001d027450_T001,sorghum,1,5528958,5535135,0,1332,1900,79.842,1517,OQU92250,4
Zm00001d027450,Zm00001d027450_T001,rice,1,5528958,5535135,0,1301,1915,79.321,1519,Os10t0533000-01,4
Zm00001d027450,Zm00001d027450_T001,brachypodium,1,5528958,5535135,0,1173,1638,79.915,1309,KQJ97572,4
Zm00001d027450,Zm00001d027450_T006,sorghum,1,5529124,5532047,0,1223,758,95.778,726,KXG40287,2
Zm00001d027450,Zm00001d027450_T006,sorghum,1,5529124,5532047,0,1166,731,95.486,698,OQU93339,2
Zm00001d027450,Zm00001d027450_T006,setaria,1,5529124,5532047,0,1079,758,92.348,700,KQK92822,2
Zm00001d027450,Zm00001d027450_T002,sorghum,1,5528958,5535135,0,2639,1683,95.128,1601,KXG40287,4
Zm00001d027450,Zm00001d027450_T002,sorghum,1,5528958,5535135,1.54E-89,333,192,97.917,188,KXG40287,4
Zm00001d027450,Zm00001d027450_T002,sorghum,1,5528958,5535135,0,2601,1635,95.474,1561,OQU93339,4
Zm00001d027450,Zm00001d027450_T002,setaria,1,5528958,5535135,0,2259,1636,91.687,1500,KQK92822,4
Zm00001d027450,Zm00001d027450_T002,brachypodium,1,5528958,5535135,0,1663,1673,84.877,1420,PNT78284,4
Zm00001d027450,Zm00001d027450_T002,setaria,1,5528958,5535135,0,1256,1664,80.769,1344,KQK90186,4
Zm00001d027450,Zm00001d027450_T002,sorghum,1,5528958,5535135,0,1201,1687,80.083,1351,OQU92250,4
Zm00001d027450,Zm00001d027450_T002,brachypodium,1,5528958,5535135,0,1171,1637,79.902,1308,KQJ97572,4
Zm00001d027450,Zm00001d027450_T002,brachypodium,1,5528958,5535135,0,1171,1637,79.902,1308,KQJ97571,4
Zm00001d027450,Zm00001d027450_T002,rice,1,5528958,5535135,0,1142,1087,85.833,933,Os03t0126100-01,4
Zm00001d027450,Zm00001d027450_T002,rice,1,5528958,5535135,3.45E-61,239,192,89.062,171,Os03t0126100-01,4
Zm00001d027450,Zm00001d027450_T002,rice,1,5528958,5535135,0,1110,1677,79.07,1326,Os10t0533000-01,4
Zm00001d027450,Zm00001d027450_T005,sorghum,1,5529123,5534182,0,1312,819,95.604,783,KXG40287,4
Zm00001d027450,Zm00001d027450_T005,sorghum,1,5529123,5534182,0,1254,781,95.647,747,OQU93339,4
Zm00001d027450,Zm00001d027450_T005,setaria,1,5529123,5534182,0,1168,819,92.43,757,KQK92822,4
Zm00001d027450,Zm00001d027450_T005,rice,1,5529123,5534182,0,791,826,84.262,696,Os03t0126100-01,4
Zm00001d027450,Zm00001d027450_T005,brachypodium,1,5529123,5534182,0,752,827,83.313,689,PNT78284,4
Zm00001d027450,Zm00001d027450_T008,sorghum,1,5531287,5535135,0,2643,1688,95.083,1605,KXG40287,4
Zm00001d027450,Zm00001d027450_T008,sorghum,1,5531287,5535135,0,2617,1647,95.446,1572,OQU93339,4
Zm00001d027450,Zm00001d027450_T008,setaria,1,5531287,5535135,0,2263,1641,91.651,1504,KQK92822,4
Zm00001d027450,Zm00001d027450_T008,brachypodium,1,5531287,5535135,0,1664,1678,84.863,1424,PNT78284,4
Zm00001d027450,Zm00001d027450_T008,setaria,1,5531287,5535135,0,1260,1669,80.767,1348,KQK90186,4
Zm00001d027450,Zm00001d027450_T008,sorghum,1,5531287,5535135,0,1205,1692,80.083,1355,OQU92250,4
Zm00001d027450,Zm00001d027450_T008,brachypodium,1,5531287,5535135,0,1175,1639,79.927,1310,KQJ97572,4
Zm00001d027450,Zm00001d027450_T008,brachypodium,1,5531287,5535135,0,1173,1642,79.903,1312,KQJ97571,4
Zm00001d027450,Zm00001d027450_T008,rice,1,5531287,5535135,0,1144,1092,85.806,937,Os03t0126100-01,4
Zm00001d027450,Zm00001d027450_T008,rice,1,5531287,5535135,0,1112,1682,79.073,1330,Os10t0533000-01,4
Zm00001d021010,Zm00001d021010_T001,sorghum,7,140312368,140312751,1.35E-103,377,396,84.848,336,EER96997,2
Zm00001d021010,Zm00001d021010_T001,setaria,7,140312368,140312751,1.38E-88,327,391,82.353,322,KQL25157,2
Zm00001d021010,Zm00001d021010_T001,setaria,7,140312368,140312751,2.59E-06,54.7,29,100,29,KQK99414,2
Zm00001d011700,Zm00001d011700_T013,sorghum,8,159172534,159179366,0,3579,2406,93.641,2253,KXG33225,4
Zm00001d011700,Zm00001d011700_T013,sorghum,8,159172534,159179366,0,3579,2406,93.641,2253,KXG33228,4
Zm00001d011700,Zm00001d011700_T013,sorghum,8,159172534,159179366,0,3579,2406,93.641,2253,KXG33227,4
Zm00001d011700,Zm00001d011700_T013,sorghum,8,159172534,159179366,0,3579,2406,93.641,2253,KXG33226,4
Zm00001d011700,Zm00001d011700_T013,sorghum,8,159172534,159179366,0,3541,2406,93.392,2247,OQU87406,4
Zm00001d011700,Zm00001d011700_T013,sorghum,8,159172534,159179366,0,3541,2406,93.392,2247,OQU87405,4
Zm00001d011700,Zm00001d011700_T013,sorghum,8,159172534,159179366,0,3541,2406,93.392,2247,OQU87404,4
Zm00001d011700,Zm00001d011700_T013,setaria,8,159172534,159179366,0,2854,2415,88.282,2132,KQL06660,4
Zm00001d011700,Zm00001d011700_T013,brachypodium,8,159172534,159179366,0,1875,2436,80.993,1973,KQK09429,4
Zm00001d011700,Zm00001d011700_T013,brachypodium,8,159172534,159179366,0,1875,2436,80.993,1973,KQK09428,4
Zm00001d011700,Zm00001d011700_T013,brachypodium,8,159172534,159179366,0,1875,2436,80.993,1973,KQK09427,4
Zm00001d011700,Zm00001d011700_T013,brachypodium,8,159172534,159179366,0,1875,2436,80.993,1973,PNT72693,4
Zm00001d011700,Zm00001d011700_T013,rice,8,159172534,159179366,0,1820,2130,82.3,1753,Os01t0709500-03,4
Zm00001d011700,Zm00001d011700_T013,rice,8,159172534,159179366,0,1210,1392,82.543,1149,Os01t0709500-04,4
Zm00001d011700,Zm00001d011700_T007,sorghum,8,159172399,159180670,0,3751,2514,93.715,2356,KXG33225,4
Zm00001d011700,Zm00001d011700_T007,sorghum,8,159172399,159180670,0,3751,2514,93.715,2356,KXG33228,4
Zm00001d011700,Zm00001d011700_T007,sorghum,8,159172399,159180670,0,3751,2514,93.715,2356,KXG33227,4
Zm00001d011700,Zm00001d011700_T007,sorghum,8,159172399,159180670,0,3751,2514,93.715,2356,KXG33226,4
Zm00001d011700,Zm00001d011700_T007,sorghum,8,159172399,159180670,0,3712,2514,93.477,2350,OQU87406,4
Zm00001d011700,Zm00001d011700_T007,sorghum,8,159172399,159180670,0,3712,2514,93.477,2350,OQU87405,4
Zm00001d011700,Zm00001d011700_T007,sorghum,8,159172399,159180670,0,3712,2514,93.477,2350,OQU87404,4
Zm00001d011700,Zm00001d011700_T007,setaria,8,159172399,159180670,0,2948,2511,88.132,2213,KQL06660,4
Zm00001d011700,Zm00001d011700_T007,brachypodium,8,159172399,159180670,0,1923,2553,80.689,2060,KQK09428,4
Zm00001d011700,Zm00001d011700_T007,brachypodium,8,159172399,159180670,0,1923,2553,80.689,2060,KQK09427,4
Zm00001d011700,Zm00001d011700_T007,brachypodium,8,159172399,159180670,0,1923,2553,80.689,2060,PNT72693,4
Zm00001d011700,Zm00001d011700_T007,brachypodium,8,159172399,159180670,0,1921,2546,80.715,2055,KQK09429,4
Zm00001d011700,Zm00001d011700_T007,rice,8,159172399,159180670,0,1820,2130,82.3,1753,Os01t0709500-03,4
Zm00001d011700,Zm00001d011700_T007,rice,8,159172399,159180670,0,1210,1392,82.543,1149,Os01t0709500-04,4
Zm00001d011700,Zm00001d011700_T001,sorghum,8,159172370,159180776,0,3751,2514,93.715,2356,KXG33225,4
Zm00001d011700,Zm00001d011700_T001,sorghum,8,159172370,159180776,0,3751,2514,93.715,2356,KXG33228,4
Zm00001d011700,Zm00001d011700_T001,sorghum,8,159172370,159180776,0,3751,2514,93.715,2356,KXG33227,4
Zm00001d011700,Zm00001d011700_T001,sorghum,8,159172370,159180776,0,3751,2514,93.715,2356,KXG33226,4
Zm00001d011700,Zm00001d011700_T001,sorghum,8,159172370,159180776,0,3712,2514,93.477,2350,OQU87406,4
Zm00001d011700,Zm00001d011700_T001,sorghum,8,159172370,159180776,0,3712,2514,93.477,2350,OQU87405,4
Zm00001d011700,Zm00001d011700_T001,sorghum,8,159172370,159180776,0,3712,2514,93.477,2350,OQU87404,4
Zm00001d011700,Zm00001d011700_T001,setaria,8,159172370,159180776,0,2948,2511,88.132,2213,KQL06660,4
Zm00001d011700,Zm00001d011700_T001,brachypodium,8,159172370,159180776,0,1923,2553,80.689,2060,KQK09428,4
Zm00001d011700,Zm00001d011700_T001,brachypodium,8,159172370,159180776,0,1923,2553,80.689,2060,KQK09427,4
Zm00001d011700,Zm00001d011700_T001,brachypodium,8,159172370,159180776,0,1923,2553,80.689,2060,PNT72693,4
Zm00001d011700,Zm00001d011700_T001,brachypodium,8,159172370,159180776,0,1921,2546,80.715,2055,KQK09429,4
Zm00001d011700,Zm00001d011700_T001,rice,8,159172370,159180776,0,1820,2130,82.3,1753,Os01t0709500-03,4
Zm00001d011700,Zm00001d011700_T001,rice,8,159172370,159180776,0,1210,1392,82.543,1149,Os01t0709500-04,4
Zm00001d011700,Zm00001d011700_T012,sorghum,8,159172534,159175569,0,682,411,96.594,397,OQU87406,4
Zm00001d011700,Zm00001d011700_T012,sorghum,8,159172534,159175569,0,682,411,96.594,397,OQU87405,4
Zm00001d011700,Zm00001d011700_T012,sorghum,8,159172534,159175569,0,682,411,96.594,397,OQU87404,4
Zm00001d011700,Zm00001d011700_T012,sorghum,8,159172534,159175569,0,682,408,96.814,395,KXG33225,4
Zm00001d011700,Zm00001d011700_T012,sorghum,8,159172534,159175569,0,682,408,96.814,395,KXG33228,4
Zm00001d011700,Zm00001d011700_T012,sorghum,8,159172534,159175569,0,682,408,96.814,395,KXG33227,4
Zm00001d011700,Zm00001d011700_T012,sorghum,8,159172534,159175569,0,682,408,96.814,395,KXG33226,4
Zm00001d011700,Zm00001d011700_T012,setaria,8,159172534,159175569,2.28E-163,577,409,92.176,377,KQL06660,4
Zm00001d011700,Zm00001d011700_T012,brachypodium,8,159172534,159175569,2.41E-123,444,401,86.783,348,KQK09429,4
Zm00001d011700,Zm00001d011700_T012,brachypodium,8,159172534,159175569,2.41E-123,444,401,86.783,348,KQK09428,4
Zm00001d011700,Zm00001d011700_T012,brachypodium,8,159172534,159175569,2.41E-123,444,401,86.783,348,KQK09427,4
Zm00001d011700,Zm00001d011700_T012,brachypodium,8,159172534,159175569,2.41E-123,444,401,86.783,348,PNT72693,4
Zm00001d011700,Zm00001d011700_T012,rice,8,159172534,159175569,1.12E-121,438,407,86.241,351,Os01t0709500-04,4
Zm00001d011700,Zm00001d011700_T012,rice,8,159172534,159175569,1.12E-121,438,407,86.241,351,Os01t0709500-03,4
Zm00001d011700,Zm00001d011700_T009,sorghum,8,159172500,159180776,0,1921,1178,96.095,1132,KXG33225,4
Zm00001d011700,Zm00001d011700_T009,sorghum,8,159172500,159180776,0,1921,1178,96.095,1132,KXG33228,4
Zm00001d011700,Zm00001d011700_T009,sorghum,8,159172500,159180776,0,1921,1178,96.095,1132,KXG33227,4
Zm00001d011700,Zm00001d011700_T009,sorghum,8,159172500,159180776,0,1921,1178,96.095,1132,KXG33226,4
Zm00001d011700,Zm00001d011700_T009,sorghum,8,159172500,159180776,0,1882,1178,95.586,1126,OQU87406,4
Zm00001d011700,Zm00001d011700_T009,sorghum,8,159172500,159180776,0,1882,1178,95.586,1126,OQU87405,4
Zm00001d011700,Zm00001d011700_T009,sorghum,8,159172500,159180776,0,1882,1178,95.586,1126,OQU87404,4
Zm00001d011700,Zm00001d011700_T009,setaria,8,159172500,159180776,0,1618,1177,91.589,1078,KQL06660,4
Zm00001d011700,Zm00001d011700_T009,rice,8,159172500,159180776,0,1225,1171,85.653,1003,Os01t0709500-03,4
Zm00001d011700,Zm00001d011700_T009,brachypodium,8,159172500,159180776,0,1162,1185,84.557,1002,KQK09429,4
Zm00001d011700,Zm00001d011700_T009,brachypodium,8,159172500,159180776,0,1162,1185,84.557,1002,KQK09428,4
Zm00001d011700,Zm00001d011700_T009,brachypodium,8,159172500,159180776,0,1162,1185,84.557,1002,KQK09427,4
Zm00001d011700,Zm00001d011700_T009,brachypodium,8,159172500,159180776,0,1162,1185,84.557,1002,PNT72693,4
Zm00001d011700,Zm00001d011700_T009,rice,8,159172500,159180776,0,752,709,85.896,609,Os01t0709500-04,4
Zm00001d011700,Zm00001d011700_T003,sorghum,8,159172370,159181013,0,3738,2507,93.698,2349,KXG33225,4
Zm00001d011700,Zm00001d011700_T003,sorghum,8,159172370,159181013,0,3738,2507,93.698,2349,KXG33228,4
Zm00001d011700,Zm00001d011700_T003,sorghum,8,159172370,159181013,2.48E-64,250,167,94.012,157,KXG33228,4
Zm00001d011700,Zm00001d011700_T003,sorghum,8,159172370,159181013,0,3738,2507,93.698,2349,KXG33227,4
Zm00001d011700,Zm00001d011700_T003,sorghum,8,159172370,159181013,7.79E-159,564,412,91.748,378,KXG33227,4
Zm00001d011700,Zm00001d011700_T003,sorghum,8,159172370,159181013,0,3738,2507,93.698,2349,KXG33226,4
Zm00001d011700,Zm00001d011700_T003,sorghum,8,159172370,159181013,6.7E-85,318,247,90.283,223,KXG33226,4
Zm00001d011700,Zm00001d011700_T003,sorghum,8,159172370,159181013,0,3699,2507,93.458,2343,OQU87406,4
Zm00001d011700,Zm00001d011700_T003,sorghum,8,159172370,159181013,7.79E-159,564,412,91.748,378,OQU87406,4
Zm00001d011700,Zm00001d011700_T003,sorghum,8,159172370,159181013,0,3699,2507,93.458,2343,OQU87405,4
Zm00001d011700,Zm00001d011700_T003,sorghum,8,159172370,159181013,2.48E-64,250,167,94.012,157,OQU87405,4
Zm00001d011700,Zm00001d011700_T003,sorghum,8,159172370,159181013,0,3699,2507,93.458,2343,OQU87404,4
Zm00001d011700,Zm00001d011700_T003,sorghum,8,159172370,159181013,6.7E-85,318,247,90.283,223,OQU87404,4
Zm00001d011700,Zm00001d011700_T003,setaria,8,159172370,159181013,0,2948,2511,88.132,2213,KQL06660,4
Zm00001d011700,Zm00001d011700_T003,setaria,8,159172370,159181013,1.15E-62,244,237,85.654,203,KQL06660,4
Zm00001d011700,Zm00001d011700_T003,brachypodium,8,159172370,159181013,0,1921,2546,80.715,2055,KQK09429,4
Zm00001d011700,Zm00001d011700_T003,brachypodium,8,159172370,159181013,0,1921,2546,80.715,2055,KQK09428,4
Zm00001d011700,Zm00001d011700_T003,brachypodium,8,159172370,159181013,0,1921,2546,80.715,2055,KQK09427,4
Zm00001d011700,Zm00001d011700_T003,brachypodium,8,159172370,159181013,0,1921,2546,80.715,2055,PNT72693,4
Zm00001d011700,Zm00001d011700_T003,rice,8,159172370,159181013,0,1820,2130,82.3,1753,Os01t0709500-03,4
Zm00001d011700,Zm00001d011700_T003,rice,8,159172370,159181013,0,1210,1392,82.543,1149,Os01t0709500-04,4
Zm00001d011700,Zm00001d011700_T008,sorghum,8,159172469,159180776,0,3751,2514,93.715,2356,KXG33225,4
Zm00001d011700,Zm00001d011700_T008,sorghum,8,159172469,159180776,0,3751,2514,93.715,2356,KXG33228,4
Zm00001d011700,Zm00001d011700_T008,sorghum,8,159172469,159180776,0,3751,2514,93.715,2356,KXG33227,4
Zm00001d011700,Zm00001d011700_T008,sorghum,8,159172469,159180776,0,3751,2514,93.715,2356,KXG33226,4
Zm00001d011700,Zm00001d011700_T008,sorghum,8,159172469,159180776,0,3712,2514,93.477,2350,OQU87406,4
Zm00001d011700,Zm00001d011700_T008,sorghum,8,159172469,159180776,0,3712,2514,93.477,2350,OQU87405,4
Zm00001d011700,Zm00001d011700_T008,sorghum,8,159172469,159180776,0,3712,2514,93.477,2350,OQU87404,4
Zm00001d011700,Zm00001d011700_T008,setaria,8,159172469,159180776,0,2948,2511,88.132,2213,KQL06660,4
Zm00001d011700,Zm00001d011700_T008,brachypodium,8,159172469,159180776,0,1923,2553,80.689,2060,KQK09428,4
